Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-04-08,45.2304,45.3042,43.6989,44.8118,105298.64973318
2022-04-11,44.5262,45.1516,43.9451,44.9989,163988.33549753
2022-04-12,45.2353,45.2353,44.3489,44.3489,111368.4559942
2022-04-13,44.28,44.8118,43.886,44.3391,236966.12994455
2022-04-14,44.1618,44.93,44.0042,44.3194,95305.502657083
2022-04-19,44.4966,44.4966,43.0587,43.7284,139694.89545051
2022-04-20,43.3345,43.9845,42.5072,42.9405,235795.42291562
2022-04-21,44.0239,44.0436,41.9163,42.6254,105028.56467707
2022-04-22,41.7784,42.4284,40.9511,40.9905,93508.320140857
2022-04-25,39.9662,42.0345,39.592,41.6602,359520.77790557
2022-04-26,42.1526,42.1526,39.9268,41.4829,259724.34967262
2022-04-27,41.1875,42.0936,40.4981,41.1678,132070.57708083
2022-04-28,42.1526,42.1526,40.6162,40.6162,129102.68753567
2022-04-29,41.0299,41.5814,40.6556,41.1481,69736.773773692
2022-05-02,41.8572,41.8572,39.198,40.3208,52939.717069778
2022-05-04,39.5132,41.5814,39.4147,40.8526,122738.42764205
2022-05-05,40.045,41.8572,40.045,40.9905,45076.789721951
2022-05-06,40.0056,40.7344,39.6117,39.8283,65207.26461839
2022-05-09,39.395,39.7889,38.548,38.548,101213.86709885
2022-05-10,39.0995,40.9314,38.4298,39.395,289008.27111357
2022-05-11,39.1783,40.9511,39.1192,39.8874,258089.62433301
2022-05-12,39.1192,40.3011,38.4495,39.7889,127850.75191843
2022-05-13,39.8086,40.8526,39.6905,40.1435,146024.6331941
2022-05-16,39.8283,41.4632,39.8283,41.3057,69975.382751835
2022-05-17,41.7193,41.739,40.9117,41.2466,274924.24925901
2022-05-18,40.892,41.4632,39.6511,39.9071,70286.082102097
2022-05-19,39.0995,39.4935,38.9026,39.0404,54648.563496224
2022-05-20,39.0404,40.5768,39.0404,39.395,85597.670997401
2022-05-23,40.0056,40.8132,39.8874,40.1435,111879.18074316
2022-05-24,39.8874,40.5571,38.8435,39.1389,87777.64323601
2022-05-25,39.9268,40.0253,38.0359,39.3556,71710.628469479
2022-05-26,39.8677,40.3405,39.001,39.592,129122.99468275
2022-05-27,39.592,40.0253,39.0207,39.6314,115777.1376244
2022-05-30,40.2814,40.2814,38.7844,39.0601,105048.87182415
2022-05-31,39.0601,39.395,38.0556,38.0753,120076.16066039
2022-06-01,38.1147,39.0207,38.1147,38.4101,130531.29533247
2022-06-02,38.9617,38.9617,37.6222,38.9026,111448.66922515
2022-06-03,39.1783,39.1783,37.8586,38.4101,69145.83579378
2022-06-06,38.4101,40.2223,38.2131,39.395,117880.95806147
2022-06-07,39.395,39.848,38.9617,39.4541,29453.48611903
2022-06-08,39.198,39.3556,37.6616,38.2328,94523.677494657
2022-06-09,38.3707,38.9026,36.5586,37.6025,177576.86296344
2022-06-10,36.8343,37.3071,35.7116,35.7116,110992.77377329
2022-06-13,34.904,35.9282,34.0964,35.4555,159842.63142196
2022-06-14,36.1646,36.7161,34.7464,36.3419,313328.11045179
2022-06-15,36.8343,36.8343,34.5691,35.1797,174355.13407983
2022-06-17,35.2191,36.3419,34.4706,35.3964,270009.91966662
2022-06-20,36.1055,36.2434,35.0025,35.3767,261971.33549658
2022-06-21,35.9282,36.007,35.0418,35.4949,75511.111044752
2022-06-22,34.7858,35.751,34.0176,35.4555,66828.790312408
2022-06-23,35.0025,37.0116,35.0025,35.9676,295742.12108397
2022-06-24,36.2828,36.6176,35.6525,35.9282,64536.113407528
2022-06-27,35.7116,37.3071,35.7116,37.2283,391367.4613075
2022-06-28,37.2677,38.0359,36.2631,36.4404,278134.80921173
2022-06-29,36.3419,36.5783,35.1403,35.751,482330.28056238
2022-06-30,35.4949,36.007,33.7221,34.313,458554.6727658
2022-07-01,34.3721,34.8449,33.9979,34.1949,126088.09155224
2022-07-04,34.8449,35.3176,34.2736,34.5888,46710.499704215
2022-07-05,35.2585,35.2585,33.8994,34.0373,144301.5717647
2022-07-06,34.7267,35.4161,33.7615,34.0373,274253.09804815
2022-07-07,34.5494,34.9631,33.8994,34.4706,107555.78913068
2022-07-08,34.2736,34.4706,34.0176,34.313,244934.65445717
2022-07-11,34.4706,34.8646,33.1903,33.5842,215521.7826323
2022-07-12,33.5842,34.6676,32.5994,33.6236,973914.5280473
2022-07-13,33.6433,34.6676,33.5054,33.7418,179982.24453459
2022-07-14,34.4706,34.4706,32.6585,33.3085,322897.85351135
2022-07-15,33.3873,33.8206,32.7175,33.0327,213273.78145098
2022-07-18,33.3282,34.5691,33.1115,34.1752,161839.83933689
2022-07-19,34.1752,34.2343,33.3085,34.057,127822.32191253
2022-07-20,34.4706,34.4706,33.86,33.9782,73353.476667927
2022-07-21,33.9782,34.313,33.3085,33.3479,92564.037801823
2022-07-22,34.0373,34.0373,32.6978,33.663,271010.04666011
2022-07-25,33.5054,33.7221,33.1903,33.4661,127889.33549788
2022-07-26,33.4857,33.4857,32.1069,32.5009,361778.93266042
2022-07-27,32.1069,32.6585,31.6933,32.5009,199802.02008076
2022-07-28,31.9099,33.1706,31.8115,33.1312,156789.45185909
2022-07-29,33.1312,33.6236,33.1312,33.407,122330.25398582
2022-08-01,33.4857,36.6176,33.4857,36.0267,204223.90135656
2022-08-02,35.0418,36.1055,35.0222,35.8494,191006.99468215
2022-08-03,35.4949,35.9282,34.1752,34.6873,97074.255167403
2022-08-04,35.3767,35.3767,34.2736,34.5888,172373.15652521
2022-08-05,34.1752,35.1009,33.9979,34.6085,221844.41287441
2022-08-08,34.707,35.6328,33.9782,35.357,193507.81984456
2022-08-09,35.6525,35.6525,34.7661,35.6328,372765.09922853
